playlist_id,playlist_name,collaborative,description,track_name,artist_name,album_name,song_duration,genres,artist_popularity
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Cough Syrup,Young the Giant,Young The Giant (Special Edition),249520,"['modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",65
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,White Winter Hymnal,Fleet Foxes,Fleet Foxes,147026,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",63
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Do You Realize??,The Flaming Lips,Yoshimi Battles the Pink Robots,213173,"['alternative rock', 'art rock', 'indie rock', 'modern rock', 'noise pop', 'okc indie', 'rock']",54
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,Yoshimi Battles the Pink Robots,287506,"['alternative rock', 'art rock', 'indie rock', 'modern rock', 'noise pop', 'okc indie', 'rock']",54
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Oblivion,Grimes,Visions,251266,"['art pop', 'canadian electropop', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",67
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Lua,Bright Eyes,"I'm Wide Awake, It's Morning",271600,"['chamber pop', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']",56
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,I And Love And You,The Avett Brothers,I And Love And You,300840,"['indie folk', 'new americana', 'north carolina indie', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",60
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Blood Bank,Bon Iver,Blood Bank,285160,"['eau claire indie', 'indie folk', 'melancholia']",74
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,No One's Gonna Love You,Band of Horses,Cease To Begin,217333,"['indie rock', 'modern rock', 'stomp and holler']",58
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,The Blower's Daughter,Damien Rice,O,286653,"['irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']",58
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Sleeping Ute,Grizzly Bear,Shields,275317,"['alternative dance', 'art pop', 'baroque pop', 'brooklyn indie', 'chillwave', 'dream pop', 'indie rock', 'modern rock', 'new weird america', 'stomp and holler']",55
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead,244586,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",74
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Fidelity,Regina Spektor,Begin to Hope (Special Edition),226680,"['indie pop', 'lilith', 'piano rock']",60
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,re:stacks,Bon Iver,"For Emma, Forever Ago",401426,"['eau claire indie', 'indie folk', 'melancholia']",74
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Sea of Love,Cat Power,The Covers Record,139466,"['art pop', 'dream pop', 'indie pop', 'melancholia', 'singer-songwriter', 'slowcore']",56
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,The District Sleeps Alone Tonight - Remastered,The Postal Service,Give Up (Deluxe 10th Anniversary Edition),283746,"['indie pop', 'indie rock', 'indietronica', 'seattle indie']",50
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,I Will Follow You into the Dark,Death Cab for Cutie,Plans,189400,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Transatlanticism,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition),475093,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
