,playlist_name,track_name,album_name,popularity,release_date,duration
232,ATL w/Melissa,the author,the author,61,2020-09-18,217213
233,ATL w/Melissa,You're Too Precious,You're Too Precious,51,2020-04-24,223900
234,ATL w/Melissa,Breakfast In Bed,1-800-HIT-EAZY,37,2021-02-12,180937
235,ATL w/Melissa,Hocus Pocus,Year One,39,2018-05-11,218363
236,ATL w/Melissa,Over (When We Said Goodbye),Cold Heart,45,2018-03-09,210586
237,ATL w/Melissa,Good Kisser,Free Yourself Up,60,2018-05-04,218493
238,ATL w/Melissa,Colors,Black Pumas,0,2019-06-21,246586
239,ATL w/Melissa,Better Days,Better Days,44,2020-12-03,198600
240,To listen to 8/2,Don't Lose Sight,Hotel TV,56,2021-07-23,208066
241,To listen to 8/2,Hotel TV,Hotel TV,37,2021-07-23,217160
242,To listen to 8/2,Jet Lag,Hotel TV,34,2021-07-23,226106
243,To listen to 8/2,Casualty,Hotel TV,48,2021-07-23,143893
244,To listen to 8/2,Freckles,Hotel TV,43,2021-07-23,189413
245,To listen to 8/2,Thoughts From the ER (Silver Lining),Hotel TV,32,2021-07-23,262373
246,To listen to 8/2,It's Not All About You,Hotel TV,47,2021-07-23,151320
247,To listen to 8/2,Don't Move,Hotel TV,31,2021-07-23,180906
248,To listen to 8/2,It's Gonna Be Me (feat. Brasstracks),Hotel TV,39,2021-07-23,203653
249,To listen to 8/2,The Weather,Hotel TV,44,2021-07-23,169093
250,To listen to 8/2,False Alarms (with Jon Bellion),Hotel TV,48,2021-07-23,240133
251,To listen to 8/2,Figure It Out (A Song Between Siblings),Hotel TV,31,2021-07-23,248293
252,To listen to 8/2,Stupid Deep,Glory Sound Prep,58,2018-11-09,178176
253,To listen to 8/2,False Alarms (with Jon Bellion),False Alarms (with Jon Bellion),39,2021-07-22,240133
254,To listen to 8/2,Hand Of God - Outro,The Human Condition,50,2016-06-10,337551
255,To listen to 8/2,JT,Glory Sound Prep,47,2018-11-09,268466
256,To listen to 8/2,Couples Retreat,Glory Sound Prep,42,2018-11-09,208697
257,To listen to 8/2,Pre-Occupied,The Definition,41,2014-09-23,267794
258,To listen to 8/2,Human,The Definition,47,2014-09-23,205268
259,To listen to 8/2,Simple & Sweet,The Definition,49,2014-09-23,171868
260,To listen to 8/2,Ooh,The Definition,47,2014-09-23,219227
261,To listen to 8/2,Luxury,The Definition,49,2014-09-23,243458
262,To listen to 8/2,Dead Man Walking,Translations Through Speakers,50,2013-02-20,196840
