,playlist_name,variable,value
283,fearless,speechiness,0.039530434782608696
284,feb '20,speechiness,0.10299375
285,florence,speechiness,0.043886666666666664
286,for dancing,speechiness,0.06078461538461539
287,jan '20,speechiness,0.062000000000000006
288,lil's recs,speechiness,0.08992857142857144
289,march to aug '20,speechiness,0.08294285714285714
290,right now,speechiness,0.08591818181818182
291,road to atl,speechiness,0.076434
292,sing me to sleep,speechiness,0.050333333333333334
293,sleeping at last,speechiness,0.035229411764705884
294,spring break,speechiness,0.079724
295,summer2018,speechiness,0.0363125
296,summer2019,speechiness,0.0812
297,that new new country,speechiness,0.03833333333333334
298,"through the deep, dark valley",speechiness,0.034666666666666665
299,wedding playlist 2,speechiness,0.03376
300,when you realize you’re both in love,speechiness,0.0629
301,4/12/2019,time_signature,1.0
302,ATL w/Melissa,time_signature,1.0
303,Angola 70's,time_signature,0.8959999999999999
304,Apt. 435,time_signature,1.0
305,Atlas: II,time_signature,0.5449999999999999
306,"Christmas Collection, Vol. 1",time_signature,0.0
307,Current Plane Playlist,time_signature,1.0
308,Introducing:,time_signature,0.5666666666666664
309,Lina's spanish songs,time_signature,0.9666666666666668
310,Litty,time_signature,0.9682926829268288
311,Música do antigamente,time_signature,1.0
312,PRAISE,time_signature,0.7139999999999995
313,Re-education: Bob Dylan,time_signature,0.7947368421052632
314,Roo Panes,time_signature,1.0
315,To listen to 8/2,time_signature,1.0
316,Worship,time_signature,0.6360000000000001
317,You are safe,time_signature,1.0
318,Your Top Songs 2017,time_signature,0.766
319,a love letter to little me,time_signature,0.9458333333333337
320,coming of age online,time_signature,0.7919999999999998
321,currents,time_signature,0.4800000000000004
322,dance,time_signature,0.9479999999999995
323,disney!!!!!!!!!!!!!,time_signature,0.5840000000000005
324,doin' the naughty,time_signature,1.0
325,"dont worry, you're doing just fine",time_signature,0.8375000000000004
326,fearless,time_signature,1.0
327,feb '20,time_signature,0.7562499999999996
328,florence,time_signature,0.5666666666666664
329,for dancing,time_signature,0.8999999999999995
330,jan '20,time_signature,0.7636363636363637
331,lil's recs,time_signature,0.07142857142857117
332,march to aug '20,time_signature,1.0
333,right now,time_signature,0.6454545454545455
334,road to atl,time_signature,0.8959999999999999
335,sing me to sleep,time_signature,0.5666666666666664
336,sleeping at last,time_signature,0.8470588235294114
337,spring break,time_signature,0.9219999999999997
338,summer2018,time_signature,0.8375000000000004
339,summer2019,time_signature,0.8818181818181818
340,that new new country,time_signature,0.8555555555555552
341,"through the deep, dark valley",time_signature,0.4222222222222216
342,wedding playlist 2,time_signature,1.0
343,when you realize you’re both in love,time_signature,0.6749999999999998
344,4/12/2019,valence,0.33770833333333333
345,ATL w/Melissa,valence,0.48300000000000004
346,Angola 70's,valence,0.75422
347,Apt. 435,valence,0.27035
348,Atlas: II,valence,0.21005500000000002
349,"Christmas Collection, Vol. 1",valence,0.21984615384615386
350,Current Plane Playlist,valence,0.47615
351,Introducing:,valence,0.3426666666666667
352,Lina's spanish songs,valence,0.65
353,Litty,valence,0.5660951219512196
354,Música do antigamente,valence,0.9275
355,PRAISE,valence,0.210196
356,Re-education: Bob Dylan,valence,0.482
357,Roo Panes,valence,0.1572
358,To listen to 8/2,valence,0.44427777777777777
359,Worship,valence,0.202868
360,You are safe,valence,0.3423333333333333
361,Your Top Songs 2017,valence,0.243458
362,a love letter to little me,valence,0.6124583333333333
363,coming of age online,valence,0.42204
364,currents,valence,0.4824
365,dance,valence,0.63536
366,disney!!!!!!!!!!!!!,valence,0.52334
367,doin' the naughty,valence,0.386275
368,"dont worry, you're doing just fine",valence,0.41975
369,fearless,valence,0.42769565217391303
370,feb '20,valence,0.4911875
371,florence,valence,0.32698666666666665
372,for dancing,valence,0.5696666666666667
373,jan '20,valence,0.4616363636363637
374,lil's recs,valence,0.5184285714285715
375,march to aug '20,valence,0.3777714285714286
376,right now,valence,0.5162727272727273
377,road to atl,valence,0.47106000000000003
378,sing me to sleep,valence,0.35433333333333333
379,sleeping at last,valence,0.16008235294117648
380,spring break,valence,0.56556
381,summer2018,valence,0.2276375
382,summer2019,valence,0.6146363636363636
383,that new new country,valence,0.49172222222222217
384,"through the deep, dark valley",valence,0.2408888888888889
385,wedding playlist 2,valence,0.6128
386,when you realize you’re both in love,valence,0.27375
